filename	utterance	'point_index	f0_value
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		9	216.24711012180856
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		10	258.9330436989632
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		11	231.32082111817212
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		12	228.63242649441088
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		13	241.254036045932
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		14	264.5700764774544
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		15	279.52106228255457
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		16	313.0798406141749
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		17	301.4475245073523
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		18	303.32464135230373
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		19	292.76967525285824
ExpBase_Sp10_S3_Polar_F_U2.TextGrid	tum mari  jao gi 		20	--undefined--
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		1	--undefined--
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		2	253.18138309213802
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		3	249.70434712494952
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		4	234.3956013389174
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		5	230.54308982027615
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		6	254.47101579582915
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		7	253.7543871502452
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		8	234.23940871157401
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		9	--undefined--
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		10	265.8953717478459
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		11	244.13759062491056
ExpBase_Sp10_S4_Alt_F_U1.TextGrid	tum lari  becho gi ya gari		12	277.35629166660914
