speaker	sentence	frequency	syntax	VA	dur_VA	abs1_VA	abs1_VA_dur	abs2_VA	abs2_VA_dur	abs3_VA	abs3_VA_dur	AN	dur_AN	abs1_AN	abs1_AN_dur	abs2_AN	abs2_AN_dur	abs3_AN	abs3_AN_dur	verb	V_freq	noun	N_freq	V_A_freq	A_N_freq	ratio_BI	dummy
Sp15	Sn138	fi	bb	ayed	0.250	R-V-Rh	0.250	IM1-R?	0.008	YY	YY	k_s	0.180	A-Co	0.090	IM2-R(P)	0.034	N-On	0.090	stayed	Vf	sissies	Ni	VA_high	AN_low	r_VA_high	XXX
Sp10	Sn130	fi	bb	k_c	0.134	YY	0.070	YY	0.030	A-Cl	0.034	lean_f	0.716	R-A-ORh	0.406	IM2-P	0.195	N-On	0.160	make	Vf	fiefs	Ni	VA_high	AN_low	r_VA_high	XXX
Sp17	Sn131	if	aa	ke_c	0.207	V-Co	0.150	IM1-R	0.030	A-Cl	0.027	lean_f	0.403	R-A-ORh	0.263	YY	YY	N-On	0.140	rake	Vi	fields	Nf	VA_med	AN_high	r_AN_high	XXX
Sp3	Sn123	if	aa	d_c	0.252	V-Co	0.120	IM1-R	0.090	A-Cl	0.042	losed_d	0.482	R-A-ORh	0.448	IM2-R	0.06	N-Cl	0.034	walled	Vi	doors	Nf	VA_low	AN_high	r_AN_high	XXX
Sp16	Sn160	fi	aa	th	0.060	YY	YY	IM1-P	0.135	YY	0.060	in_f	0.300	A-Rh	0.190	YY	YY	N-On	0.110	wear	Vf	farthings	Ni	VA_high	AN_low	r_VA_high	XXX
Sp15	Sn159	ff	aa	th+IM	0.150	YY	YY	YY	YY	YY	0.150	in_f	0.260	A-Rh	0.160	YY	YY	YY	0.100	wear	Vf	farmers	Nf	VA_high	AN_low	r_VA_high	XXX
Sp16	Sn140	if	bb	ayed	0.249	R-V-Rh	0.249	YY	YY	YY	YY	k_s	0.410	A-Co	0.200	IM2-RP	0.030	N-On	0.180	bayed	Vi	sisters	Nf	VA_low	AN_low	r_AN_high	XXX
Sp16	Sn131	if	aa	ke_c	0.344	V-Co?	0.260	IM1-R	0.050	A-Cl?	0.034	lean_f	0.416	R-A-ORh	0.306	YY	YY	N-On	0.110	rake	Vi	fields	Nf	VA_med	AN_high	r_AN_high	XXX
Sp10	Sn166	ii	bb	ks_l	0.240	YY	0.160	YY	YY	A-On	0.080	a?te_m	0.460	A-Rh	0.170	IM2-RP	0.244	N-On	0.140	lurks	Vi	marshals	Ni	VA_low	AN_med	r_AN_high	XXX
Sp15	Sn137	ff	bb	ayed	0.220	R-V-Rh	0.220	IM1-R?	0.01	YY	YY	k_s	0.210	A-Co	0.080	IM2-R(P)	0.031	N-On	0.130	stayed	Vf	sisters	Nf	VA_high	AN_low	r_VA_high	XXX
Sp6	Sn122	fi	aa	d_c	0.309	V-Co	0.140	IM1-R	0.120	A-Cl	0.049	losed_d	0.337	R-A-ORh	0.301	YY	YY	YY	0.036	called	Vf	dorms	Ni	VA_med	AN_low	r_VA_high	XXX
Sp16	Sn126	fi	aa	ade	0.290	V-Rh	0.290	IM1-R(P)	0.014	YY	YY	d_p	0.167	A-Co	0.120	IM2-R?	0.023	N-Cl	0.047	made	Vf	pitchers	Ni	VA_high	AN_high	r_VA_high	XXX
Sp2	Sn113	ff	aa	ropped_f	0.708	R-V-ORh	0.418	IM1-RP	0.110	A-On	0.180	lat_p	0.325	A-ORh	0.280	IM2-R	0.053	N-Cl	0.045	dropped	Vf	plants	Nf	VA_med	AN_med	r_med	XXX
Sp5	Sn159	ff	aa	th	0.160	YY	YY	IM1-P	0.289	A-On	0.160	in_f	0.260	A-Rh	0.170	YY	YY	N-On	0.090	wear	Vf	farmers	Nf	VA_high	AN_low	r_VA_high	XXX
Sp20	Sn124	ii	aa	d_c	0.314	V-Co	0.150	IM1-R	0.130	A-Cl	0.034	losed_d	0.448	YY	0.406	YY	YY	YY	0.042	walled	Vi	dorms	Ni	VA_low	AN_low	r_VA_high	XXX
Sp3	Sn122	fi	aa	d_c	0.194	V-Co	0.160	IM1-R	0.039	A-Cl	0.034	losed_d	0.491	R-A-ORh	0.486	IM2-R	0.054	N-Cl	0.005	called	Vf	dorms	Ni	VA_med	AN_low	r_VA_high	XXX
Sp17	Sn125	ff	aa	ade(+rel)	0.300	V-Rh	0.300	IM1-R(P)	0.028	YY	YY	d_p	0.114	A-Co	0.080	IM2-R	0.017	N-Cl	0.034	made	Vf	pictures	Nf	VA_high	AN_high	r_med	XXX
Sp3	Sn120	ii	aa	uys_g	0.602	R-V-Rh	0.504	YY	YY	A-Cl	0.038	reen_p	0.376	R-A-ORh	0.262	YY	YY	N-Cl	0.114	dyes	Vi	paisley	Ni	VA_med	AN_high	r_med	XXX
Sp20	Sn161	if	aa	th	0.160	YY	YY	YY	YY	A-On	0.160	in_f	0.290	A-Rh	0.190	YY	YY	N-On	0.100	pare	Vi	farmers	Nf	VA_low	AN_low	r_AN_high	XXX
Sp16	Sn143	ff	aa	layed_d	0.325	V-ORh	0.292	IM1-R?	0.062	A-Cl	0.033	ead_f	0.287	R-A-Rh	0.187	IM2-R?	0.022	N-On	0.100	played	Vf	fish	Nf	VA_high	AN_high	r_med	XXX
Sp18	Sn123	if	aa	d_c	0.115	V-Co	0.080	IM1-R?	0.018	A-Cl	0.035	losed_d	0.458	YY	0.385	YY	0.030	YY	0.043	walled	Vi	doors	Nf	VA_low	AN_high	r_AN_high	XXX
Sp6	Sn131	if	aa	k_c	0.269	V-Co	0.200	IM1-R	0.030	A-Cl	0.039	lean_f	0.411	R-A-ORh	0.291	YY	YY	N-On	0.120	rake	Vi	fields	Nf	VA_med	AN_high	r_AN_high	XXX
Sp20	Sn119	if	aa	yes_g	0.526	R-V-Rh	0.465	YY	YY	A-Cl	0.061	reen_p	0.282	R-A-ORh	0.239	YY	YY	?N-Cl	0.043	dyes	Vi	paper	Nf	VA_med	AN_high	r_AN_high	XXX
Sp17	Sn126	fi	aa	ade(+rel)	0.350	V-Rh	0.290	YY	0.060	YY	YY	d_p	0.128	A-Co	0.090	IM2-R	0.019	N-Cl	0.038	made	Vf	pitchers	Ni	VA_high	AN_high	r_VA_high	XXX
Sp18	Sn124	ii	aa	d_c	0.145	V-Co	0.070	IM1-R?	0.029	A-Cl	0.075	losed_d	0.418	YY	0.385	YY	YY	YY	0.033	walled	Vi	dorms	Ni	VA_low	AN_low	r_VA_high	XXX
